STIs,TempRels,VerSupp,HorSupp
"[1, 22, 999]","['b', 'b', 'b']",0.06707317073170732,1.4545454545454546
"[1, 22]",['f'],0.06097560975609756,1.0
"[1, 22, 999]","['f', 'b', 'b']",0.06097560975609756,1.0
"[1, 23]",['b'],0.10365853658536585,1.7058823529411764
"[1, 23, 999]","['b', 'b', 'b']",0.10365853658536585,1.7058823529411764
"[1, 23]",['f'],0.0975609756097561,1.0
"[1, 23, 999]","['f', 'b', 'b']",0.0975609756097561,1.0
"[1, 23]",['c'],0.07317073170731707,1.0
"[1, 23, 999]","['c', 'b', 'b']",0.07317073170731707,1.0
"[1, 23]",['e'],0.054878048780487805,1.0
"[1, 24]",['b'],0.07317073170731707,1.25
"[1, 24, 999]","['b', 'b', 'b']",0.07317073170731707,1.25
"[1, 24]",['e'],0.07926829268292683,1.0769230769230769
"[1, 24, 999]","['e', 'b', 'b']",0.07926829268292683,1.0769230769230769
"[1, 26]",['b'],0.06097560975609756,1.2
"[1, 26, 999]","['b', 'b', 'b']",0.054878048780487805,1.2222222222222223
"[1, 26]",['c'],0.07317073170731707,1.0833333333333333
"[1, 26, 999]","['c', 'b', 'b']",0.07317073170731707,1.0833333333333333
"[1, 27]",['b'],0.11585365853658537,1.263157894736842
"[1, 27, 999]","['b', 'b', 'b']",0.11585365853658537,1.263157894736842
"[1, 27]",['f'],0.08536585365853659,1.0
"[1, 27, 999]","['f', 'b', 'b']",0.08536585365853659,1.0
"[1, 27]",['e'],0.07317073170731707,1.0
"[1, 27, 999]","['e', 'b', 'b']",0.07317073170731707,1.0
"[1, 29]",['f'],0.054878048780487805,1.0
"[1, 29, 999]","['f', 'b', 'b']",0.054878048780487805,1.0
"[1, 30]",['b'],0.07926829268292683,1.4615384615384615
"[1, 30, 999]","['b', 'b', 'b']",0.07317073170731707,1.4166666666666667
"[1, 33]",['b'],0.07926829268292683,1.6153846153846154
"[1, 33, 999]","['b', 'b', 'b']",0.07926829268292683,1.6153846153846154
